지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),이슬점온도(°C),지면온도(°C)
129,서산,2020-01-12 20:00,.6,,2.6,270,67,-4.8,0
129,서산,2020-01-12 21:00,1.1,,2.4,290,64,-4.9,.5
129,서산,2020-01-12 22:00,1.4,,3.5,290,59,-5.7,.8
129,서산,2020-01-12 23:00,1.3,,2.4,290,60,-5.6,.9
129,서산,2020-01-13 00:00,1.2,,2.2,290,61,-5.5,.9
129,서산,2020-01-13 01:00,1.3,,2,290,62,-5.1,1
129,서산,2020-01-13 02:00,1.4,,2.2,320,63,-4.8,1.1
129,서산,2020-01-13 03:00,1.4,,1.6,340,61,-5.3,1
129,서산,2020-01-13 04:00,1,,1.4,360,66,-4.6,1.1
129,서산,2020-01-13 05:00,.6,,.1,0,71,-4,1
129,서산,2020-01-13 06:00,1.4,,4.1,290,63,-4.8,.9
129,서산,2020-01-13 07:00,.3,,1.7,360,72,-4.1,.7
129,서산,2020-01-13 08:00,.4,,3.7,320,61,-6.2,.2
129,서산,2020-01-13 09:00,.2,0,3.7,290,57,-7.3,0
129,서산,2020-01-13 10:00,.9,,5,290,59,-6.2,2.3
129,서산,2020-01-13 11:00,.6,,4,320,59,-6.5,4.1
129,서산,2020-01-13 12:00,.8,0,3.6,320,58,-6.5,5.3
129,서산,2020-01-13 13:00,.7,,5.4,320,54,-7.5,5.2
129,서산,2020-01-13 14:00,.9,,3.6,340,46,-9.4,6.5
129,서산,2020-01-13 15:00,1.7,,4.9,320,46,-8.7,5.8
129,서산,2020-01-13 16:00,1.4,,2.6,360,50,-7.9,4.2
129,서산,2020-01-13 17:00,.2,,3.3,320,50,-9,1.9
129,서산,2020-01-13 18:00,-.9,,1.4,320,58,-8.1,.2
129,서산,2020-01-13 19:00,-1.4,,.4,0,61,-7.9,.1
129,서산,2020-01-13 20:00,-1.9,,1.8,110,66,-7.4,-.1
129,서산,2020-01-13 21:00,-1.7,,.5,290,67,-7,-.1
129,서산,2020-01-13 22:00,-2,,.2,0,69,-6.9,-.1
129,서산,2020-01-13 23:00,-2.2,,1.2,50,73,-6.3,-.2
129,서산,2020-01-14 00:00,-3.2,,.9,270,80,-6.1,-.5
129,서산,2020-01-14 01:00,-3.4,,.6,160,83,-5.8,-.5
129,서산,2020-01-14 02:00,-3.2,,1,90,80,-6.1,-.6
129,서산,2020-01-14 03:00,-3.6,,.3,0,86,-5.6,-.6
129,서산,2020-01-14 04:00,-3.5,,.9,20,88,-5.2,-.6
129,서산,2020-01-14 05:00,-3.7,,.9,50,81,-6.4,-.9
129,서산,2020-01-14 06:00,-3,,.5,360,79,-6.1,-.5
129,서산,2020-01-14 07:00,-1.6,,1.7,70,65,-7.3,-.6
129,서산,2020-01-14 08:00,-1.7,,.7,50,64,-7.6,-.4
129,서산,2020-01-14 09:00,-1.4,,1,90,65,-7.1,-.5
129,서산,2020-01-14 10:00,-.4,,.2,0,58,-7.6,-.2
129,서산,2020-01-14 11:00,1,,1,90,51,-8,0
129,서산,2020-01-14 12:00,2.4,,2.5,360,46,-8,4.5
129,서산,2020-01-14 13:00,2.8,,.9,20,45,-7.9,5.8
129,서산,2020-01-14 14:00,3.3,,2.6,320,48,-6.6,6.7
129,서산,2020-01-14 15:00,2.3,,2.3,340,56,-5.5,5.8
129,서산,2020-01-14 16:00,2.3,,1.3,360,55,-5.8,4.9
129,서산,2020-01-14 17:00,1.9,,3.4,320,62,-4.6,3.4
129,서산,2020-01-14 18:00,.3,,1.8,340,63,-5.9,1
129,서산,2020-01-14 19:00,-.3,,1.3,320,58,-7.5,.2
129,서산,2020-01-14 20:00,-.9,,.2,0,61,-7.4,-.1
129,서산,2020-01-14 21:00,-2.3,,.2,0,70,-7,-.3
129,서산,2020-01-14 22:00,-1.8,,1.1,140,71,-6.3,-.3
129,서산,2020-01-14 23:00,-1.2,,.5,160,72,-5.6,-.3
129,서산,2020-01-15 00:00,-1.9,,.6,360,77,-5.4,-.4
129,서산,2020-01-15 01:00,-3.5,,.2,0,83,-5.9,-.7
129,서산,2020-01-15 02:00,-2.6,,1.4,50,84,-4.9,-.4
129,서산,2020-01-15 03:00,-1.8,,.1,0,78,-5.1,-.4
129,서산,2020-01-15 04:00,-1.8,,0,0,79,-4.9,-.6
129,서산,2020-01-15 05:00,-4.2,,.1,0,87,-6,-1
129,서산,2020-01-15 06:00,-4.6,,.5,20,87,-6.4,-1.1
129,서산,2020-01-15 07:00,-4.8,,.8,90,86,-6.7,-1.3
129,서산,2020-01-15 08:00,-4.4,,.8,90,85,-6.5,-1.2
129,서산,2020-01-15 09:00,-3.3,,0,0,85,-5.4,-.6
129,서산,2020-01-15 10:00,-.1,,.7,360,64,-6.1,-.2
129,서산,2020-01-15 11:00,.8,,2,360,55,-7.2,.1
129,서산,2020-01-15 12:00,1.4,,2.8,340,54,-6.9,.3
129,서산,2020-01-15 13:00,2,,3.3,340,51,-7,3.4
129,서산,2020-01-15 14:00,2.7,,3.4,290,48,-7.2,5
129,서산,2020-01-15 15:00,3.1,,3.1,340,46,-7.4,5.2
129,서산,2020-01-15 16:00,2.8,,2.7,340,46,-7.6,4.3
129,서산,2020-01-15 17:00,1.6,,2.9,340,52,-7.2,2.2
129,서산,2020-01-15 18:00,-.1,,1.8,320,62,-6.5,.1
129,서산,2020-01-15 19:00,-1.5,,.6,290,69,-6.4,-.1
129,서산,2020-01-15 20:00,-2.5,,.2,0,74,-6.5,-.4
129,서산,2020-01-15 21:00,-2.7,,.8,70,77,-6.1,-.7
129,서산,2020-01-15 22:00,-3.8,,.9,180,83,-6.2,-.8
129,서산,2020-01-15 23:00,-4.5,,0,0,85,-6.6,-1
129,서산,2020-01-16 00:00,-4.3,,1,50,87,-6.1,-1.1
129,서산,2020-01-16 01:00,-5.1,,.2,0,89,-6.6,-1.2
129,서산,2020-01-16 02:00,-5.2,,.2,0,87,-7,-1.4
129,서산,2020-01-16 03:00,-5.2,,.6,90,90,-6.5,-1.2
129,서산,2020-01-16 04:00,-4.9,,.4,0,89,-6.4,-1.4
129,서산,2020-01-16 05:00,-5.2,,.7,70,92,-6.3,-1.4
129,서산,2020-01-16 06:00,-4.7,,.8,50,91,-5.9,-1.4
129,서산,2020-01-16 07:00,-5.3,,0,0,92,-6.4,-1.6
129,서산,2020-01-16 08:00,-4.5,,.8,50,91,-5.7,-1.4
129,서산,2020-01-16 09:00,-1.8,,1,50,76,-5.4,-.5
129,서산,2020-01-16 10:00,-.7,,1.7,70,62,-7,-.3
129,서산,2020-01-16 11:00,.9,,2.1,20,55,-7.1,.5
129,서산,2020-01-16 12:00,2.1,,1.8,20,45,-8.6,2.3
129,서산,2020-01-16 13:00,2.6,,3,340,36,-11,2.9
129,서산,2020-01-16 14:00,2.8,,2.5,340,26,-14.8,4
129,서산,2020-01-16 15:00,3.1,,2.1,20,27,-14.1,3.7
129,서산,2020-01-16 16:00,3.3,,2.6,340,32,-11.8,3
129,서산,2020-01-16 17:00,2,,3.6,320,42,-9.5,1.5
