,Unnamed: 0,MEA_DDHR,PLANT,LOC,X24H_TMA,X48H_TMA,X24H_COND_LOC_PROB,X48H_COND_LOC_PROB,X24H_COND_LOC,X48H_COND_LOC
30,30,2019-04-03 19:30,2,1,2019-04-04 19:30:00,2019-04-05 19:30:00,0.0,0.0,0,0
31,31,2019-04-04 0:30,1,2,2019-04-05 00:30:00,2019-04-06 00:30:00,0.01,0.0,0,0
32,32,2019-04-04 4:30,2,1,2019-04-05 04:30:00,2019-04-06 04:30:00,0.01,0.01,0,0
33,33,2019-04-04 5:00,2,2,2019-04-05 05:00:00,2019-04-06 05:00:00,0.02,0.01,0,0
34,34,2019-04-04 6:00,1,1,2019-04-05 06:00:00,2019-04-06 06:00:00,0.02,0.0,0,0
35,35,2019-04-04 14:30,2,3,2019-04-05 14:30:00,2019-04-06 14:30:00,0.0,0.0,0,0
36,36,2019-04-04 18:00,2,3,2019-04-05 18:00:00,2019-04-06 18:00:00,0.0,0.0,0,0
37,37,2019-04-04 22:00,1,1,2019-04-05 22:00:00,2019-04-06 22:00:00,0.0,0.0,0,0
38,38,2019-04-04 23:00,1,1,2019-04-05 23:00:00,2019-04-06 23:00:00,0.0,0.0,0,0
39,39,2019-04-05 0:00,2,1,2019-04-06 00:00:00,2019-04-07 00:00:00,0.01,0.0,0,0
40,40,2019-04-05 0:30,1,1,2019-04-06 00:30:00,2019-04-07 00:30:00,0.0,0.0,0,0
41,41,2019-04-05 1:30,2,2,2019-04-06 01:30:00,2019-04-07 01:30:00,0.0,0.0,0,0
42,42,2019-04-05 2:00,1,2,2019-04-06 02:00:00,2019-04-07 02:00:00,0.0,0.0,0,0
43,43,2019-04-05 2:30,1,3,2019-04-06 02:30:00,2019-04-07 02:30:00,0.01,0.0,0,0
44,44,2019-04-05 4:30,2,1,2019-04-06 04:30:00,2019-04-07 04:30:00,0.01,0.0,0,0
45,45,2019-04-05 6:30,2,2,2019-04-06 06:30:00,2019-04-07 06:30:00,0.0,0.0,0,0
46,46,2019-04-05 8:00,1,3,2019-04-06 08:00:00,2019-04-07 08:00:00,0.0,0.0,0,0
47,47,2019-04-05 13:00,2,3,2019-04-06 13:00:00,2019-04-07 13:00:00,0.0,0.0,0,0
48,48,2019-04-05 15:30,1,3,2019-04-06 15:30:00,2019-04-07 15:30:00,0.0,0.0,0,0
49,49,2019-04-05 18:00,1,1,2019-04-06 18:00:00,2019-04-07 18:00:00,0.01,0.0,0,0
50,50,2019-04-05 18:00,2,3,2019-04-06 18:00:00,2019-04-07 18:00:00,0.0,0.0,0,0
51,51,2019-04-05 21:30,1,2,2019-04-06 21:30:00,2019-04-07 21:30:00,0.0,0.0,0,0
52,52,2019-04-06 0:30,1,1,2019-04-07 00:30:00,2019-04-08 00:30:00,0.0,0.0,0,0
53,53,2019-04-06 2:00,2,3,2019-04-07 02:00:00,2019-04-08 02:00:00,0.0,0.0,0,0
54,54,2019-04-06 2:00,1,2,2019-04-07 02:00:00,2019-04-08 02:00:00,0.0,0.0,0,0
55,55,2019-04-06 6:30,1,3,2019-04-07 06:30:00,2019-04-08 06:30:00,0.0,0.0,0,0
56,56,2019-04-06 12:00,2,3,2019-04-07 12:00:00,2019-04-08 12:00:00,0.0,0.01,0,0
57,57,2019-04-06 17:00,1,1,2019-04-07 17:00:00,2019-04-08 17:00:00,0.0,0.02,0,0
58,58,2019-04-06 18:00,1,3,2019-04-07 18:00:00,2019-04-08 18:00:00,0.0,0.0,0,0
59,59,2019-04-06 21:00,2,1,2019-04-07 21:00:00,2019-04-08 21:00:00,0.0,0.0,0,0
60,60,2019-04-06 22:30,1,3,2019-04-07 22:30:00,2019-04-08 22:30:00,0.0,0.0,0,0
61,61,2019-04-07 0:30,2,2,2019-04-08 00:30:00,2019-04-09 00:30:00,0.0,0.0,0,0
62,62,2019-04-07 2:30,2,2,2019-04-08 02:30:00,2019-04-09 02:30:00,0.0,0.0,0,0
63,63,2019-04-07 3:00,1,3,2019-04-08 03:00:00,2019-04-09 03:00:00,0.0,0.0,0,0
64,64,2019-04-07 3:00,2,1,2019-04-08 03:00:00,2019-04-09 03:00:00,0.0,0.0,0,0
65,65,2019-04-07 7:30,2,1,2019-04-08 07:30:00,2019-04-09 07:30:00,0.0,0.0,0,0
66,66,2019-04-07 12:00,1,1,2019-04-08 12:00:00,2019-04-09 12:00:00,0.02,0.03,0,0
67,67,2019-04-07 13:30,2,2,2019-04-08 13:30:00,2019-04-09 13:30:00,0.0,0.01,0,0
68,68,2019-04-07 13:30,2,3,2019-04-08 13:30:00,2019-04-09 13:30:00,0.0,0.01,0,0
69,69,2019-04-07 17:30,2,3,2019-04-08 17:30:00,2019-04-09 17:30:00,0.0,0.01,0,0
70,70,2019-04-08 1:30,1,1,2019-04-09 01:30:00,2019-04-10 01:30:00,0.0,0.07,0,0
71,71,2019-04-08 2:00,2,3,2019-04-09 02:00:00,2019-04-10 02:00:00,0.0,0.1,0,0
72,72,2019-04-08 2:00,1,3,2019-04-09 02:00:00,2019-04-10 02:00:00,0.0,0.1,0,0
73,73,2019-04-08 5:30,1,3,2019-04-09 05:30:00,2019-04-10 05:30:00,0.0,0.03,0,0
74,74,2019-04-08 8:00,2,1,2019-04-09 08:00:00,2019-04-10 08:00:00,0.0,0.0,0,0
75,75,2019-04-08 11:00,2,3,2019-04-09 11:00:00,2019-04-10 11:00:00,0.03,0.01,0,0
76,76,2019-04-08 12:00,2,2,2019-04-09 12:00:00,2019-04-10 12:00:00,0.05,0.0,0,0
77,77,2019-04-08 13:30,2,2,2019-04-09 13:30:00,2019-04-10 13:30:00,0.01,0.02,0,0
78,78,2019-04-08 17:30,2,3,2019-04-09 17:30:00,2019-04-10 17:30:00,0.01,0.0,0,0
79,79,2019-04-08 20:30,2,3,2019-04-09 20:30:00,2019-04-10 20:30:00,0.08,0.0,0,0
80,80,2019-04-08 23:00,2,1,2019-04-09 23:00:00,2019-04-10 23:00:00,0.09,0.0,0,0
81,81,2019-04-08 23:30,1,2,2019-04-09 23:30:00,2019-04-10 23:30:00,0.06,0.04,0,0
82,82,2019-04-09 1:00,2,3,2019-04-10 01:00:00,2019-04-11 01:00:00,0.06,0.0,0,0
83,83,2019-04-09 2:00,2,1,2019-04-10 02:00:00,2019-04-11 02:00:00,0.04,0.01,0,0
84,84,2019-04-09 2:30,1,1,2019-04-10 02:30:00,2019-04-11 02:30:00,0.09,0.0,0,0
85,85,2019-04-09 3:30,2,2,2019-04-10 03:30:00,2019-04-11 03:30:00,0.03,0.01,0,0
86,86,2019-04-09 4:30,2,3,2019-04-10 04:30:00,2019-04-11 04:30:00,0.01,0.0,0,0
87,87,2019-04-09 5:30,1,3,2019-04-10 05:30:00,2019-04-11 05:30:00,0.03,0.0,0,0
88,88,2019-04-09 8:30,2,2,2019-04-10 08:30:00,2019-04-11 08:30:00,0.0,0.0,0,0
89,89,2019-04-09 9:00,1,1,2019-04-10 09:00:00,2019-04-11 09:00:00,0.01,0.06,0,0
90,90,2019-04-09 9:30,1,1,2019-04-10 09:30:00,2019-04-11 09:30:00,0.0,0.01,0,0
91,91,2019-04-09 21:00,1,2,2019-04-10 21:00:00,2019-04-11 21:00:00,0.01,0.0,0,0
92,92,2019-04-10 1:00,2,2,2019-04-11 01:00:00,2019-04-12 01:00:00,0.0,0.0,0,0
93,93,2019-04-10 1:30,1,3,2019-04-11 01:30:00,2019-04-12 01:30:00,0.0,0.0,0,0
94,94,2019-04-10 2:00,2,2,2019-04-11 02:00:00,2019-04-12 02:00:00,0.01,0.0,0,0
95,95,2019-04-10 4:30,1,1,2019-04-11 04:30:00,2019-04-12 04:30:00,0.0,0.0,0,0
96,96,2019-04-10 6:30,2,3,2019-04-11 06:30:00,2019-04-12 06:30:00,0.0,0.0,0,0
97,97,2019-04-10 7:30,1,2,2019-04-11 07:30:00,2019-04-12 07:30:00,0.01,0.0,0,0
98,98,2019-04-10 10:00,1,1,2019-04-11 10:00:00,2019-04-12 10:00:00,0.02,0.01,0,0
99,99,2019-04-10 13:00,1,3,2019-04-11 13:00:00,2019-04-12 13:00:00,0.0,0.0,0,0
100,100,2019-04-10 13:00,2,1,2019-04-11 13:00:00,2019-04-12 13:00:00,0.0,0.0,0,0
101,101,2019-04-10 13:00,2,3,2019-04-11 13:00:00,2019-04-12 13:00:00,0.0,0.0,0,0
102,102,2019-04-10 16:30,1,1,2019-04-11 16:30:00,2019-04-12 16:30:00,0.0,0.0,0,0
103,103,2019-04-10 18:00,1,3,2019-04-11 18:00:00,2019-04-12 18:00:00,0.0,0.0,0,0
104,104,2019-04-10 18:00,2,3,2019-04-11 18:00:00,2019-04-12 18:00:00,0.0,0.0,0,0
105,105,2019-04-10 18:30,2,2,2019-04-11 18:30:00,2019-04-12 18:30:00,0.0,0.0,0,0
106,106,2019-04-10 20:30,2,2,2019-04-11 20:30:00,2019-04-12 20:30:00,0.0,0.0,0,0
107,107,2019-04-11 2:30,1,3,2019-04-12 02:30:00,2019-04-13 02:30:00,0.0,0.0,0,0
108,108,2019-04-11 3:00,2,2,2019-04-12 03:00:00,2019-04-13 03:00:00,0.0,0.0,0,0
109,109,2019-04-11 8:30,2,3,2019-04-12 08:30:00,2019-04-13 08:30:00,0.0,0.0,0,0
110,110,2019-04-11 9:30,2,2,2019-04-12 09:30:00,2019-04-13 09:30:00,0.01,0.0,0,0
111,111,2019-04-11 11:00,1,3,2019-04-12 11:00:00,2019-04-13 11:00:00,0.0,0.0,0,0
112,112,2019-04-11 11:30,2,2,2019-04-12 11:30:00,2019-04-13 11:30:00,0.0,0.0,0,0
113,113,2019-04-11 14:30,1,2,2019-04-12 14:30:00,2019-04-13 14:30:00,0.0,0.0,0,0
114,114,2019-04-11 15:30,2,1,2019-04-12 15:30:00,2019-04-13 15:30:00,0.0,0.0,0,0
115,115,2019-04-11 20:30,1,3,2019-04-12 20:30:00,2019-04-13 20:30:00,0.0,0.0,0,0
116,116,2019-04-11 20:30,2,2,2019-04-12 20:30:00,2019-04-13 20:30:00,0.0,0.01,0,0
117,117,2019-04-12 3:00,2,1,2019-04-13 03:00:00,2019-04-14 03:00:00,0.0,0.01,0,0
118,118,2019-04-12 7:00,1,2,2019-04-13 07:00:00,2019-04-14 07:00:00,0.0,0.01,0,0
119,119,2019-04-12 14:30,1,2,2019-04-13 14:30:00,2019-04-14 14:30:00,0.0,0.03,0,0
120,120,2019-04-12 22:00,1,1,2019-04-13 22:00:00,2019-04-14 22:00:00,0.0,0.0,0,0
121,121,2019-04-13 2:00,1,3,2019-04-14 02:00:00,2019-04-15 02:00:00,0.0,0.0,0,0
122,122,2019-04-13 5:00,2,3,2019-04-14 05:00:00,2019-04-15 05:00:00,0.0,0.0,0,0
123,123,2019-04-13 7:00,1,3,2019-04-14 07:00:00,2019-04-15 07:00:00,0.0,0.0,0,0
124,124,2019-04-13 7:30,1,1,2019-04-14 07:30:00,2019-04-15 07:30:00,0.0,0.0,0,0
125,125,2019-04-13 11:00,2,2,2019-04-14 11:00:00,2019-04-15 11:00:00,0.0,0.0,0,0
126,126,2019-04-13 16:00,1,2,2019-04-14 16:00:00,2019-04-15 16:00:00,0.0,0.0,0,0
127,127,2019-04-13 19:00,2,1,2019-04-14 19:00:00,2019-04-15 19:00:00,0.0,0.0,0,0
128,128,2019-04-13 22:30,1,1,2019-04-14 22:30:00,2019-04-15 22:30:00,0.0,0.0,0,0
129,129,2019-04-14 6:00,1,2,2019-04-15 06:00:00,2019-04-16 06:00:00,0.0,0.0,0,0
130,130,2019-04-14 8:30,2,2,2019-04-15 08:30:00,2019-04-16 08:30:00,0.0,0.0,0,0
131,131,2019-04-14 11:00,1,3,2019-04-15 11:00:00,2019-04-16 11:00:00,0.0,0.0,0,0
132,132,2019-04-14 11:30,1,1,2019-04-15 11:30:00,2019-04-16 11:30:00,0.0,0.0,0,0
133,133,2019-04-14 14:30,1,2,2019-04-15 14:30:00,2019-04-16 14:30:00,0.0,0.02,0,0
134,134,2019-04-14 15:30,1,3,2019-04-15 15:30:00,2019-04-16 15:30:00,0.0,0.0,0,0
135,135,2019-04-14 20:00,2,3,2019-04-15 20:00:00,2019-04-16 20:00:00,0.0,0.0,0,0
136,136,2019-04-15 0:30,2,1,2019-04-16 00:30:00,2019-04-17 00:30:00,0.0,0.0,0,0
137,137,2019-04-15 0:30,2,3,2019-04-16 00:30:00,2019-04-17 00:30:00,0.0,0.0,0,0
138,138,2019-04-15 2:30,1,2,2019-04-16 02:30:00,2019-04-17 02:30:00,0.0,0.0,0,0
139,139,2019-04-15 4:00,2,2,2019-04-16 04:00:00,2019-04-17 04:00:00,0.01,0.0,0,0
140,140,2019-04-15 10:00,1,1,2019-04-16 10:00:00,2019-04-17 10:00:00,0.0,0.0,0,0
141,141,2019-04-15 13:00,2,3,2019-04-16 13:00:00,2019-04-17 13:00:00,0.0,0.0,0,0
142,142,2019-04-15 16:00,1,1,2019-04-16 16:00:00,2019-04-17 16:00:00,0.0,0.0,0,0
143,143,2019-04-15 17:00,1,3,2019-04-16 17:00:00,2019-04-17 17:00:00,0.0,0.0,0,0
144,144,2019-04-16 1:30,1,2,2019-04-17 01:30:00,2019-04-18 01:30:00,0.0,0.06,0,0
145,145,2019-04-16 4:00,1,3,2019-04-17 04:00:00,2019-04-18 04:00:00,0.0,0.02,0,0
146,146,2019-04-16 5:00,2,1,2019-04-17 05:00:00,2019-04-18 05:00:00,0.0,0.0,0,0
147,147,2019-04-16 6:30,2,1,2019-04-17 06:30:00,2019-04-18 06:30:00,0.0,0.0,0,0
148,148,2019-04-16 11:00,2,1,2019-04-17 11:00:00,2019-04-18 11:00:00,0.0,0.02,0,0
149,149,2019-04-16 14:00,1,1,2019-04-17 14:00:00,2019-04-18 14:00:00,0.0,0.04,0,0
150,150,2019-04-16 14:30,2,3,2019-04-17 14:30:00,2019-04-18 14:30:00,0.0,0.01,0,0
151,151,2019-04-16 19:30,2,2,2019-04-17 19:30:00,2019-04-18 19:30:00,0.0,0.04,0,0
152,152,2019-04-16 20:30,1,3,2019-04-17 20:30:00,2019-04-18 20:30:00,0.0,0.07,0,0
153,153,2019-04-17 0:00,2,1,2019-04-18 00:00:00,2019-04-19 00:00:00,0.09,0.01,0,0
154,154,2019-04-17 7:00,2,1,2019-04-18 07:00:00,2019-04-19 07:00:00,0.01,0.0,0,0
155,155,2019-04-17 8:30,2,3,2019-04-18 08:30:00,2019-04-19 08:30:00,0.0,0.0,0,0
156,156,2019-04-17 14:00,1,1,2019-04-18 14:00:00,2019-04-19 14:00:00,0.04,0.01,0,0
157,157,2019-04-17 14:30,1,3,2019-04-18 14:30:00,2019-04-19 14:30:00,0.01,0.0,0,0
158,158,2019-04-17 15:00,2,3,2019-04-18 15:00:00,2019-04-19 15:00:00,0.0,0.0,0,0
159,159,2019-04-18 1:30,2,2,2019-04-19 01:30:00,2019-04-20 01:30:00,0.0,0.0,0,0
160,160,2019-04-18 3:00,1,1,2019-04-19 03:00:00,2019-04-20 03:00:00,0.01,0.0,0,0
161,161,2019-04-18 4:30,1,3,2019-04-19 04:30:00,2019-04-20 04:30:00,0.0,0.0,0,0
162,162,2019-04-18 11:30,2,1,2019-04-19 11:30:00,2019-04-20 11:30:00,0.0,0.0,0,0
163,163,2019-04-18 12:00,2,2,2019-04-19 12:00:00,2019-04-20 12:00:00,0.0,0.0,0,0
164,164,2019-04-18 14:00,2,1,2019-04-19 14:00:00,2019-04-20 14:00:00,0.0,0.0,0,0
165,165,2019-04-18 16:30,2,2,2019-04-19 16:30:00,2019-04-20 16:30:00,0.0,0.0,0,0
166,166,2019-04-18 22:00,1,2,2019-04-19 22:00:00,2019-04-20 22:00:00,0.0,0.02,0,0
167,167,2019-04-18 22:00,2,1,2019-04-19 22:00:00,2019-04-20 22:00:00,0.0,0.0,0,0
168,168,2019-04-18 23:00,2,3,2019-04-19 23:00:00,2019-04-20 23:00:00,0.0,0.0,0,0
169,169,2019-04-19 0:30,1,3,2019-04-20 00:30:00,2019-04-21 00:30:00,0.0,0.01,0,0
170,170,2019-04-19 1:30,2,1,2019-04-20 01:30:00,2019-04-21 01:30:00,0.0,0.01,0,0
171,171,2019-04-19 4:30,1,2,2019-04-20 04:30:00,2019-04-21 04:30:00,0.01,0.0,0,0
172,172,2019-04-19 8:30,1,3,2019-04-20 08:30:00,2019-04-21 08:30:00,0.0,0.0,0,0
173,173,2019-04-19 13:30,1,1,2019-04-20 13:30:00,2019-04-21 13:30:00,0.0,0.0,0,0
174,174,2019-04-19 14:30,1,2,2019-04-20 14:30:00,2019-04-21 14:30:00,0.0,0.0,0,0
175,175,2019-04-19 16:30,1,1,2019-04-20 16:30:00,2019-04-21 16:30:00,0.0,0.0,0,0
176,176,2019-04-19 21:00,2,2,2019-04-20 21:00:00,2019-04-21 21:00:00,0.0,0.0,0,0
177,177,2019-04-20 0:00,2,2,2019-04-21 00:00:00,2019-04-22 00:00:00,0.03,0.0,0,0
178,178,2019-04-20 2:30,1,3,2019-04-21 02:30:00,2019-04-22 02:30:00,0.0,0.0,0,0
179,179,2019-04-20 3:00,2,3,2019-04-21 03:00:00,2019-04-22 03:00:00,0.0,0.01,0,0
180,180,2019-04-20 8:30,1,2,2019-04-21 08:30:00,2019-04-22 08:30:00,0.0,0.0,0,0
181,181,2019-04-20 10:30,2,1,2019-04-21 10:30:00,2019-04-22 10:30:00,0.01,0.0,0,0
182,182,2019-04-20 11:30,2,1,2019-04-21 11:30:00,2019-04-22 11:30:00,0.0,0.0,0,0
183,183,2019-04-20 11:30,2,3,2019-04-21 11:30:00,2019-04-22 11:30:00,0.0,0.0,0,0
184,184,2019-04-20 13:00,1,3,2019-04-21 13:00:00,2019-04-22 13:00:00,0.0,0.0,0,0
185,185,2019-04-20 18:00,2,3,2019-04-21 18:00:00,2019-04-22 18:00:00,0.0,0.0,0,0
186,186,2019-04-20 19:30,1,1,2019-04-21 19:30:00,2019-04-22 19:30:00,0.0,0.0,0,0
187,187,2019-04-21 1:00,2,2,2019-04-22 01:00:00,2019-04-23 01:00:00,0.0,0.0,0,0
188,188,2019-04-21 1:30,1,2,2019-04-22 01:30:00,2019-04-23 01:30:00,0.0,0.0,0,0
189,189,2019-04-21 2:30,2,1,2019-04-22 02:30:00,2019-04-23 02:30:00,0.01,0.0,0,0
190,190,2019-04-21 5:30,1,3,2019-04-22 05:30:00,2019-04-23 05:30:00,0.0,0.0,0,0
191,191,2019-04-21 8:30,1,1,2019-04-22 08:30:00,2019-04-23 08:30:00,0.0,0.0,0,0
192,192,2019-04-21 11:00,1,1,2019-04-22 11:00:00,2019-04-23 11:00:00,0.0,0.0,0,0
193,193,2019-04-21 13:30,1,1,2019-04-22 13:30:00,2019-04-23 13:30:00,0.0,0.0,0,0
194,194,2019-04-21 13:30,1,3,2019-04-22 13:30:00,2019-04-23 13:30:00,0.0,0.0,0,0
195,195,2019-04-21 18:30,1,1,2019-04-22 18:30:00,2019-04-23 18:30:00,0.0,0.0,0,0
196,196,2019-04-21 20:30,2,1,2019-04-22 20:30:00,2019-04-23 20:30:00,0.0,0.0,0,0
197,197,2019-04-21 23:30,1,2,2019-04-22 23:30:00,2019-04-23 23:30:00,0.0,0.01,0,0
198,198,2019-04-22 0:00,2,1,2019-04-23 00:00:00,2019-04-24 00:00:00,0.0,0.03,0,0
199,199,2019-04-22 1:00,2,3,2019-04-23 01:00:00,2019-04-24 01:00:00,0.0,0.0,0,0
200,200,2019-04-22 7:30,1,3,2019-04-23 07:30:00,2019-04-24 07:30:00,0.0,0.0,0,0
201,201,2019-04-22 7:30,1,1,2019-04-23 07:30:00,2019-04-24 07:30:00,0.0,0.0,0,0
202,202,2019-04-22 8:30,1,1,2019-04-23 08:30:00,2019-04-24 08:30:00,0.0,0.0,0,0
203,203,2019-04-22 12:00,1,2,2019-04-23 12:00:00,2019-04-24 12:00:00,0.0,0.01,0,0
204,204,2019-04-22 13:00,1,2,2019-04-23 13:00:00,2019-04-24 13:00:00,0.0,0.0,0,0
205,205,2019-04-22 14:00,1,3,2019-04-23 14:00:00,2019-04-24 14:00:00,0.0,0.0,0,0
206,206,2019-04-22 15:00,1,1,2019-04-23 15:00:00,2019-04-24 15:00:00,0.01,0.0,0,0
207,207,2019-04-23 2:30,2,1,2019-04-24 02:30:00,2019-04-25 02:30:00,0.01,0.01,0,0
208,208,2019-04-23 3:00,2,3,2019-04-24 03:00:00,2019-04-25 03:00:00,0.01,0.01,0,0
209,209,2019-04-23 4:30,2,2,2019-04-24 04:30:00,2019-04-25 04:30:00,0.01,0.01,0,0
210,210,2019-04-23 7:30,1,1,2019-04-24 07:30:00,2019-04-25 07:30:00,0.0,0.08,0,0
211,211,2019-04-23 9:00,2,3,2019-04-24 09:00:00,2019-04-25 09:00:00,0.0,0.0,0,0
212,212,2019-04-23 9:30,2,2,2019-04-24 09:30:00,2019-04-25 09:30:00,0.0,0.03,0,0
213,213,2019-04-23 17:00,1,2,2019-04-24 17:00:00,2019-04-25 17:00:00,0.0,0.03,0,0
214,214,2019-04-24 1:30,2,3,2019-04-25 01:30:00,2019-04-26 01:30:00,0.02,0.02,0,0
215,215,2019-04-24 1:30,1,1,2019-04-25 01:30:00,2019-04-26 01:30:00,0.01,0.04,0,0
216,216,2019-04-24 4:30,1,2,2019-04-25 04:30:00,2019-04-26 04:30:00,0.01,0.0,0,0
217,217,2019-04-24 6:00,2,3,2019-04-25 06:00:00,2019-04-26 06:00:00,0.04,0.08,0,0
218,218,2019-04-24 10:00,2,1,2019-04-25 10:00:00,2019-04-26 10:00:00,0.03,0.01,0,0
219,219,2019-04-24 16:00,2,1,2019-04-25 16:00:00,2019-04-26 16:00:00,0.01,0.01,0,0
220,220,2019-04-24 20:00,2,2,2019-04-25 20:00:00,2019-04-26 20:00:00,0.14,0.0,1,0
221,221,2019-04-25 0:00,2,2,2019-04-26 00:00:00,2019-04-27 00:00:00,0.02,0.01,0,0
222,222,2019-04-25 0:30,2,1,2019-04-26 00:30:00,2019-04-27 00:30:00,0.02,0.0,0,0
223,223,2019-04-25 1:30,2,1,2019-04-26 01:30:00,2019-04-27 01:30:00,0.02,0.0,0,0
224,224,2019-04-25 5:00,2,2,2019-04-26 05:00:00,2019-04-27 05:00:00,0.02,0.0,0,0
225,225,2019-04-25 7:30,1,2,2019-04-26 07:30:00,2019-04-27 07:30:00,0.04,0.0,0,0
226,226,2019-04-25 8:30,2,3,2019-04-26 08:30:00,2019-04-27 08:30:00,0.02,0.01,0,0
227,227,2019-04-25 14:00,2,2,2019-04-26 14:00:00,2019-04-27 14:00:00,0.0,0.0,0,0
228,228,2019-04-25 14:30,2,2,2019-04-26 14:30:00,2019-04-27 14:30:00,0.01,0.0,0,0
229,229,2019-04-25 19:00,2,1,2019-04-26 19:00:00,2019-04-27 19:00:00,0.0,0.0,0,0
230,230,2019-04-25 21:30,2,3,2019-04-26 21:30:00,2019-04-27 21:30:00,0.0,0.0,0,0
231,231,2019-04-25 22:00,1,1,2019-04-26 22:00:00,2019-04-27 22:00:00,0.0,0.0,0,0
232,232,2019-04-26 9:00,2,3,2019-04-27 09:00:00,2019-04-28 09:00:00,0.0,0.0,0,0
233,233,2019-04-26 9:30,2,1,2019-04-27 09:30:00,2019-04-28 09:30:00,0.0,0.0,0,0
234,234,2019-04-26 11:00,1,1,2019-04-27 11:00:00,2019-04-28 11:00:00,0.0,0.0,0,0
235,235,2019-04-26 14:00,2,1,2019-04-27 14:00:00,2019-04-28 14:00:00,0.0,0.0,0,0
236,236,2019-04-26 15:30,1,2,2019-04-27 15:30:00,2019-04-28 15:30:00,0.0,0.0,0,0
237,237,2019-04-26 15:30,2,1,2019-04-27 15:30:00,2019-04-28 15:30:00,0.0,0.0,0,0
238,238,2019-04-26 20:00,1,3,2019-04-27 20:00:00,2019-04-28 20:00:00,0.0,0.0,0,0
239,239,2019-04-26 22:00,2,2,2019-04-27 22:00:00,2019-04-28 22:00:00,0.0,0.0,0,0
240,240,2019-04-27 1:00,2,2,2019-04-28 01:00:00,2019-04-29 01:00:00,0.0,0.03,0,0
241,241,2019-04-27 2:00,1,3,2019-04-28 02:00:00,2019-04-29 02:00:00,0.01,0.01,0,0
